,Epoch,Neurons,batch size,learning rate,accuracy,Ham precision,Ham recall,Spam precision,Spam recall
64,20.0,50.0,300.0,0.1,0.6576767676767676,0.8331918505942275,0.39584593668078244,0.602863202545069,0.920461445051609
65,20.0,50.0,300.0,0.01,0.7639393939393939,0.8939302884615384,0.5999193385763258,0.6981132075471698,0.9285569722728193
66,35.0,50.0,300.0,1.0,0.655959595959596,0.6049182542899608,0.9028029844726759,0.8071228491396558,0.40821696012952846
67,35.0,50.0,300.0,0.1,0.713939393939394,0.7286605031176091,0.6834039120790482,0.7008954086492665,0.7445861161708156
68,35.0,50.0,300.0,0.01,0.7686868686868686,0.8629317378297525,0.6398467432950191,0.7130001606941989,0.8979963570127505
69,50.0,50.0,300.0,1.0,0.4992929292929293,1.0,0.00040330711837063924,0.4991917559102849,1.0
70,50.0,50.0,300.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
71,50.0,50.0,300.0,0.01,0.7598989898989899,0.8964987714987716,0.588626739261948,0.6929560505719446,0.9317951831613034
72,5.0,100.0,50.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
73,5.0,100.0,50.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
74,5.0,100.0,50.0,0.01,0.7848484848484848,0.9047210300429185,0.6376285541439807,0.7194379391100703,0.9326047358834244
75,20.0,100.0,50.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
76,20.0,100.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
77,20.0,100.0,50.0,0.01,0.7487878787878788,0.8838509316770187,0.5739060294414197,0.6836826347305389,0.9243068204816839
78,35.0,100.0,50.0,1.0,0.6892929292929293,0.6256506072334178,0.9453518854607784,0.8874117158288326,0.432301153612629
79,35.0,100.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
80,35.0,100.0,50.0,0.01,0.7825252525252525,0.8302730696798494,0.7112321032466223,0.7466383581033262,0.8540781218376847
81,50.0,100.0,50.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
82,50.0,100.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
83,50.0,100.0,50.0,0.01,0.7268686868686869,0.9042667622803873,0.5085702762653761,0.6572915201800028,0.9459623557984214
84,5.0,100.0,100.0,1.0,0.5021212121212121,0.5015172971879426,0.9997983464408147,0.9285714285714286,0.0026310463468933415
85,5.0,100.0,100.0,0.1,0.740909090909091,0.6807065217391305,0.9092558983666061,0.8626373626373627,0.5719489981785064
86,5.0,100.0,100.0,0.01,0.7477777777777778,0.9049342105263158,0.5547489413188142,0.678134110787172,0.9415098158267557
87,20.0,100.0,100.0,1.0,0.6838383838383838,0.6655803005612891,0.741278483565235,0.7068768562942654,0.6261890305606153
88,20.0,100.0,100.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
89,20.0,100.0,100.0,0.01,0.7598989898989899,0.8948012232415902,0.5900383141762452,0.6933634992458522,0.9303784658975915
90,35.0,100.0,100.0,1.0,0.6191919191919192,0.6330870830535035,0.5702762653760839,0.6077673476900424,0.6682857721109087
91,35.0,100.0,100.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
92,35.0,100.0,100.0,0.01,0.7929292929292929,0.9079943899018232,0.6527525710828797,0.7281767955801105,0.9336166767860757
93,50.0,100.0,100.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
94,50.0,100.0,100.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
95,50.0,100.0,100.0,0.01,0.7644444444444445,0.9090625973217066,0.588626739261948,0.6950216773807744,0.9409026512851649
96,5.0,100.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
97,5.0,100.0,150.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
98,5.0,100.0,150.0,0.01,0.7718181818181818,0.9216114928169894,0.5950796531558782,0.7002090176171991,0.9492005666869054
99,20.0,100.0,150.0,1.0,0.6293939393939394,0.5799851190476191,0.9431336963097399,0.8464052287581699,0.3145112325440194
100,20.0,100.0,150.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
101,20.0,100.0,150.0,0.01,0.7408080808080808,0.8631259484066768,0.573502722323049,0.6797880393641181,0.9087229305808541
102,35.0,100.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
103,35.0,100.0,150.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
104,35.0,100.0,150.0,0.01,0.7606060606060606,0.8999073215940686,0.5874168179068361,0.6929311121116614,0.9344262295081968
105,50.0,100.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
106,50.0,100.0,150.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
107,50.0,100.0,150.0,0.01,0.8048484848484848,0.8056958190264593,0.80439604759024,0.8040008082440897,0.8053025703298927
108,5.0,100.0,200.0,1.0,0.6462626262626263,0.6212751789578824,0.7525710828796128,0.6848189057282301,0.5395668892936653
109,5.0,100.0,200.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
110,5.0,100.0,200.0,0.01,0.7776767676767676,0.9121338912133892,0.6154466626335955,0.7090326518156851,0.9404978749241044
111,20.0,100.0,200.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
112,20.0,100.0,200.0,0.1,0.7038383838383838,0.655087987758225,0.8632788868723533,0.7985141158989599,0.5438170410848007
113,20.0,100.0,200.0,0.01,0.765959595959596,0.8800345224395857,0.6168582375478927,0.7042341220423413,0.9156041287188829
114,35.0,100.0,200.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
115,35.0,100.0,200.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
116,35.0,100.0,200.0,0.01,0.7663636363636364,0.9009090909090909,0.5995160314579552,0.6990909090909091,0.9338190649666059
117,50.0,100.0,200.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
118,50.0,100.0,200.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
119,50.0,100.0,200.0,0.01,0.7737373737373737,0.9148611534940494,0.6045573704375882,0.7039106145251397,0.9435336976320583
120,5.0,100.0,250.0,1.0,0.5163636363636364,0.5087990120407533,0.9969751966122202,0.9180327868852459,0.03400121432908318
121,5.0,100.0,250.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
122,5.0,100.0,250.0,0.01,0.7676767676767676,0.9005724615848147,0.6027424884049204,0.7006533961404042,0.9332119004250152
123,20.0,100.0,250.0,1.0,0.6514141414141414,0.5943679599499374,0.9576527525710828,0.8900523560209425,0.34405990690143695
124,20.0,100.0,250.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
125,20.0,100.0,250.0,0.01,0.7462626262626263,0.9205912684771399,0.5400282314982859,0.6737233586039193,0.9532483302975107
126,35.0,100.0,250.0,1.0,0.518989898989899,0.5102337662337663,0.9903206291591047,0.8254545454545454,0.04594211698036835
127,35.0,100.0,250.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
128,35.0,100.0,250.0,0.01,0.7485858585858586,0.9261559696342305,0.5412381528533978,0.675092830619823,0.9566889293665249
129,50.0,100.0,250.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
130,50.0,100.0,250.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
131,50.0,100.0,250.0,0.01,0.7694949494949495,0.9140117537890504,0.5958862673926195,0.6994150292485376,0.9437360858125885
132,5.0,100.0,300.0,1.0,0.5209090909090909,0.5111963508189923,0.994353700342811,0.889763779527559,0.04573972879983809
133,5.0,100.0,300.0,0.1,0.6474747474747474,0.6174260591526779,0.7787860455737043,0.699039780521262,0.5156850839910949
134,5.0,100.0,300.0,0.01,0.727979797979798,0.9324427480916031,0.49263964508973584,0.6543956043956044,0.9641772920461446
135,20.0,100.0,300.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
136,20.0,100.0,300.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
137,20.0,100.0,300.0,0.01,0.7529292929292929,0.9159218801721284,0.5579753982657794,0.6813490332897223,0.9485934021453147
138,35.0,100.0,300.0,1.0,0.6172727272727273,0.6101280120481928,0.6535591853196209,0.6255448997384482,0.5808540781218376
139,35.0,100.0,300.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
140,35.0,100.0,300.0,0.01,0.7565656565656566,0.9258269295021717,0.5587820125025207,0.683219921818445,0.9550698239222829
141,50.0,100.0,300.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
142,50.0,100.0,300.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
143,50.0,100.0,300.0,0.01,0.78,0.8865721434528774,0.6430732002419842,0.7191813422179915,0.9174256223436551
144,5.0,150.0,50.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
145,5.0,150.0,50.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
146,5.0,150.0,50.0,0.01,0.7551515151515151,0.8856099787039854,0.5870135107884654,0.6903069711174958,0.9239020441206234
147,20.0,150.0,50.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
148,20.0,150.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
149,20.0,150.0,50.0,0.01,0.7496969696969698,0.8959463772741781,0.5660415406331922,0.6819861090586671,0.9340214531471362
150,35.0,150.0,50.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
151,35.0,150.0,50.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
152,35.0,150.0,50.0,0.01,0.7656565656565657,0.9166403536469845,0.5854002823149829,0.6946383484330908,0.9465695203400122
153,50.0,150.0,50.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
154,50.0,150.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
155,50.0,150.0,50.0,0.01,0.7784848484848484,0.8711755233494364,0.6545674531155475,0.7225461613216715,0.9028536733454766
156,5.0,150.0,100.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
157,5.0,150.0,100.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
158,5.0,150.0,100.0,0.01,0.7976767676767677,0.8505692599620494,0.7231296632385562,0.7584447572132301,0.8724954462659381
159,20.0,150.0,100.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
160,20.0,150.0,100.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
161,20.0,150.0,100.0,0.01,0.7673737373737374,0.9423717521652232,0.5704779189352692,0.6912148448825747,0.9649868447682656
162,35.0,150.0,100.0,1.0,0.5945454545454546,0.5537971080496413,0.9808429118773946,0.9149507609668756,0.20684072050192268
163,35.0,150.0,100.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
164,35.0,150.0,100.0,0.01,0.7567676767676768,0.8997179567533689,0.5789473684210527,0.6887762706811745,0.9352357822303178
165,50.0,150.0,100.0,1.0,0.5023232323232323,0.9210526315789473,0.007057874571486187,0.5007097951733929,0.9993928354584092
166,50.0,150.0,100.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
167,50.0,150.0,100.0,0.01,0.7547474747474747,0.9265251095382542,0.5543456342004437,0.681234674743978,0.9558793766444039
168,5.0,150.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
169,5.0,150.0,150.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
170,5.0,150.0,150.0,0.01,0.7591919191919192,0.8950598343050016,0.5882234321435773,0.6925161873211866,0.930783242258652
171,20.0,150.0,150.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
172,20.0,150.0,150.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
173,20.0,150.0,150.0,0.01,0.7674747474747474,0.9194821597726555,0.5872151643476508,0.6959750482697163,0.9483910139647844
174,35.0,150.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
175,35.0,150.0,150.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
